La_oreja_de_Van_Gogh	70092	Adios	1.02	Lo_que_te_conte_mientras_te_hacias_la_dormida	70092_42
Chenoa	70056	Adios	1.67	Soy_mujer	70056_43
Medina_Azahara	70123	Adios_al_ayer	4.87	arabe	70123_44
Sergio_Dalma	70163	Adios_Sofia	2.82	Remix	70163_45
Robbie_Williams	70157	Advertising_Space	9.46	Intensive_Care	70157_46
Tahures_Zurdos	70168	Afiladas_palabras	2.63	Nieve_Negra	70168_47
REM	70153	Aftermatch	0.05	Around_the_sun	70153_48
Noa	70141	Again_and_again	2.99	Blue_Touches_Blue	70141_49
Los_Secretos	70101	Agarrate_a_mi_Maria	4.79	Grandes_exitos	70101_50
Malu	70179	Agua_de_mayo	7.89	Desafio	70179_51
Alex_Ubago	70004	Ahora_que_no_estas	9.05	Que_pides_tu	70004_52
Joaquin_Sabina	70084	Ahora_que	3.86	19_dias_y_500_noches	70084_53
Amistades_Peligrosas	70019	Aicha	7.28	Grandes_exitos	70019_54
Shania_Twain	70167	Ain_t_no_particular_way	7.67	Up	70167_55
Mecano	70139	Aire	2.62	Ya_viene_el_sol	70139_56
Alejandro	70018	Aire	7.52	Perdido_en_el_paraiso	70018_57
Mecano	70107	Aire	8.09	20_Grandes_Canciones	70107_58
Medina_Azahara	70110	Al_diablo_con_el_cielo	4.76	La_estacion_de_los_suenyos	70110_59
Nacho_Cano	70138	Al_encuentro_del_alma	8.10	El_lado_femenino	70138_60
Medina_Azahara	70129	Al_Hakim_Otro_lugar	9.02	En_al_Hakim	70129_61
Medina_Azahara	70123	Al_padre_santo_de_roma	4.04	arabe	70123_62
Eric_Clapton	70070	Alberta	6.52	Unplugged	70070_63
Varios	70054	Alchemy_-_She_moved_thru_the_fair	0.76	Celtic_Collections_Vol_2	70054_64
Medina_Azahara	70110	Aleemos_las_manos	2.77	La_estacion_de_los_suenyos	70110_65
La_Quinta_Estacion	70093	Algo_mas	2.37	Flores_de_alquiler	70093_66
Medina_Azahara	70128	Algo_nuevo	7.58	Donde_esta_la_luz	70128_67
Los_Secretos	70102	Alguien_como_tu	7.21	Solo_para_escuchar	70102_68
La_Oreja_de_Van_Gogh	70177	Alguna_de_mis_noches	5.86	Guapa	70177_69
Medina_Azahara	70109	Al-Hakim_otro_lugar	8.91	Doble_LP_En_Vivo	70109_70
Bon_Jovi	70033	All_about_lovin__you	9.82	Bounce	70033_71
Nirvana	70143	All_Apologies	7.01	Unplugged_in_New_York	70143_72
U2	70173	All_becuase_of_you	1.69	How_to_Dismantle_an_atomic_bomb	70173_73
Bryan_Adams	70045	All_for_love	2.41	The_best_of_me	70045_74
Alanis_Morissette	70016	All_I_really_want	3.91	Jagged_LittedPill	70016_75
Noa	70145	All_is_Well	7.02	Calling	70145_76
Alex_Ubago	70005	Alli_estare	9.65	Fantasia	70005_77
Roxette	70160	Almost_Unreal	9.92	The_ballads_hits	70160_78
BSO	70039	Alone	4.30	La_mision	70039_79
Varios	70054	Altan_-_The_lass_of_Glenslice	4.03	Celtic_Collections_Vol_2	70054_80
Bon_Jovi	70041	Always	7.16	Crossroad	70041_81
Gary_Moore	70076	Always_gonna_love_you	6.88	Corridors_of_power	70076_82
Juanes	70086	Amame	0.92	Mi_sangre	70086_83
Gisela	70078	Amame_ahora_y_siempre	8.08	Parte_de_mi	70078_84
Medina_Azahara	70131	Amanece_en_la_ciudad	7.28	La_esquina_del_viento	70131_85
Miguel_Bose	70113	Amante_bandido	6.19	Lo_mejor_de	70113_86
Queco_-_Manuel_Ruiz	70144	Amantes	7.96	Ladron_de_lunas	70144_87
Mikel_Erentxu	70135	Amara	6.46	Ciudades_de_paso	70135_88
Marta_Sanchez	70105	Amen	5.02	Grandes_exitos	70105_89
Medina_Azahara	70109	Amiga	6.23	Doble_LP_En_Vivo	70109_90
Los_Secretos	70101	Amiga_mala_suerte	3.87	Grandes_exitos	70101_91
Alejandro_Sanz	70002	Amiga_mia	9.88	Mas	70002_92
Marta_Sanchez	70119	Amor_cobarde	0.54	Soy_yo	70119_93
Malu	70117	Amor_de_hielo_y_sal	5.56	Diles	70117_94
El_Suenyo_de_Morfeo	70066	Amor_de_sal	3.89	El_suenyo_de_morfeo	70066_95
Queco_-_Manuel_Ruiz	70144	Amor_de_San_Juan	8.94	Ladron_de_lunas	70144_96
Sergio_Dalma	70163	Amor_Descafeinado	3.43	Remix	70163_97
La_union	70094	Amor_fugaz	0.53	Grandes_exitos	70094_98
Joaquin_Sabina	70088	Amor_se_llama_el_juego	4.89	Fisica_y_quimica	70088_99
David_Bisbal	70061	Amores_del_sur	4.98	Buleria	70061_100
Gwendal	70081	An_dro_nevez	4.74	Lo_mejor_de_Gwendal	70081_101
The_Cranberries	70172	Analyse	4.41	Starts_The_best_of_1992-2002	70172_102
Medina_Azahara	70123	Anda_jaleo	8.77	arabe	70123_103
Medina_Azahara	70127	Andalucia	1.04	Andalucia	70127_104
Noa	70141	Angel	0.54	Blue_Touches_Blue	70141_105
Eurythmics	70075	Angel	0.63	Greatest_Hits	70075_106
David_Bisbal	70061	angel_de_la_noche	4.41	Buleria	70061_107
Queco_-_Manuel_Ruiz	70144	angeles_que_bailan	8.03	Ladron_de_lunas	70144_108
Robbie_Williams	70158	Angels	5.82	Greatest_Hits	70158_109
Within_Temptations	70174	Angels	8.26	The_silent_force	70174_110
Shakira	70165	Animal_city	4.07	Oral_Fixation_Vol_2	70165_111
The_Cranberries	70172	Animal_Instinct	6.75	Starts_The_best_of_1992-2002	70172_112
Medina_Azahara	70111	Aniversario	3.30	XX	70111_113
Varios	70079	Another_cup_of_coffee	4.04	Gomaespuma_-_M80	70079_114
Antonio_Vega	70013	Ansiedad	4.36	El_sitio_de_mi_recreo	70013_115
Nacha_Pop	70142	Antes_que_salga_el_sol	6.81	X_Aniversario	70142_116
